,has_summ,soap_central,soapcentral_condensed,tvmega_recap,tvdb,scene_breaks,has_caps,n_scenes,n_lines,n_chars,n_chars_per_scene,duration_raw,duration,split,usable
atwt-01-22-09,True,True,True,True,False,explicit,True,29,510,15,46.310344827586206,3534.936236,58m 54.94s,test,True
atwt-01-22-10,True,True,True,True,False,explicit,True,26,373,14,45.11538461538461,3533.357279,58m 53.36s,train,True
atwt-01-23-03,True,True,True,False,True,implicit,True,26,362,16,45.76923076923077,3377.342404,56m 17.34s,train,True
atwt-01-23-04,True,True,True,True,True,explicit,False,24,318,22,44.91666666666666,3293.704127,54m 53.70s,nelly-excluded,False
atwt-01-23-06,True,True,True,True,False,explicit,True,29,427,19,46.13793103448276,3534.959456,58m 54.96s,train,True
atwt-01-23-07,True,True,True,True,False,explicit,True,21,406,17,48.19047619047619,3534.448617,58m 54.45s,train,True
atwt-01-23-08,True,True,True,True,False,explicit,True,38,329,23,41.39473684210526,3534.471837,58m 54.47s,train,True
atwt-01-23-09,True,True,True,True,False,explicit,True,27,468,13,45.22222222222222,3534.425397,58m 54.43s,val,True
atwt-01-24-03,True,True,True,True,True,explicit,True,27,407,18,47.92592592592592,3381.754195,56m 21.75s,val,True
atwt-01-24-05,True,True,True,True,True,explicit,False,28,325,18,44.142857142857146,3325.770884,55m 25.77s,nelly-excluded,False
atwt-01-24-06,True,True,True,True,True,explicit,True,28,350,18,45.42857142857143,3534.959456,58m 54.96s,val,True
atwt-01-24-07,True,True,True,True,True,explicit,True,34,441,22,44.11764705882353,3533.984218,58m 53.98s,val,True
atwt-01-24-08,True,True,True,True,False,explicit,True,31,451,17,46.80645161290322,3533.960998,58m 53.96s,train,True
atwt-01-25-05,True,True,True,True,True,explicit,True,33,384,19,44.696969696969695,2332.560544,38m 52.56s,val,True
atwt-01-25-06,True,True,True,True,True,explicit,True,29,424,21,44.51724137931034,3534.936236,58m 54.94s,val,True
atwt-01-25-07,True,True,True,True,True,explicit,False,22,443,20,46.72727272727273,3535.981134,58m 55.98s,nelly-excluded,False
atwt-01-25-08,True,True,True,True,False,explicit,True,39,396,18,43.282051282051285,3534.936236,58m 54.94s,train,True
atwt-01-25-10,True,True,True,True,False,explicit,True,24,446,20,46.625,3533.821678,58m 53.82s,train,True
atwt-01-26-04,True,True,True,True,True,explicit,True,23,385,17,46.30434782608695,3338.750839,55m 38.75s,val,True
atwt-01-26-05,True,True,True,True,True,explicit,True,25,397,19,46.48,3311.931791,55m 11.93s,val,True
atwt-01-26-06,True,True,True,True,False,explicit,True,27,382,19,44.48148148148148,3534.402177,58m 54.40s,train,True
atwt-01-26-09,True,True,True,True,False,explicit,True,22,450,13,47.95454545454545,3534.796916,58m 54.80s,val,True
atwt-01-26-10,True,True,True,True,False,explicit,True,26,454,13,45.5,3533.589478,58m 53.59s,train,True
atwt-01-27-03,True,True,True,True,True,explicit,True,29,389,17,46.3448275862069,3374.230930,56m 14.23s,val,True
atwt-01-27-04,True,True,True,True,True,explicit,False,28,378,32,45.57142857142857,3298.185578,54m 58.19s,nelly-excluded,False
atwt-01-27-05,True,True,True,True,True,explicit,True,32,420,19,45.4375,2320.857687,38m 40.86s,val,True
atwt-01-27-06,True,True,True,True,True,explicit,True,21,364,22,46.285714285714285,3534.471837,58m 54.47s,val,True
atwt-01-27-09,True,True,True,True,False,explicit,True,27,507,18,46.629629629629626,3534.889796,58m 54.89s,val,True
atwt-01-27-10,True,True,True,True,False,explicit,True,29,493,12,44.58620689655172,3533.984218,58m 53.98s,train,True
atwt-01-28-03,True,True,True,True,True,explicit,True,23,319,15,47.43478260869565,3382.729433,56m 22.73s,val,True
atwt-01-28-04,True,True,True,True,True,explicit,False,31,394,26,45.096774193548384,3333.712109,55m 33.71s,nelly-excluded,False
atwt-01-28-05,True,True,True,True,True,explicit,True,30,398,18,43.9,3275.406803,54m 35.41s,val,True
atwt-01-28-08,True,True,True,True,False,explicit,True,27,340,17,43.18518518518518,3535.493515,58m 55.49s,train,True
atwt-01-28-09,True,True,True,True,False,explicit,True,23,645,13,48.21739130434783,3534.866576,58m 54.87s,val,True
atwt-01-28-10,True,True,True,True,False,explicit,True,20,519,14,49.05,3532.916100,58m 52.92s,train,True
atwt-01-29-03,True,True,True,True,True,explicit,True,20,323,17,47.7,3409.293061,56m 49.29s,val,True
atwt-01-29-07,True,True,True,True,True,explicit,True,23,433,14,47.82608695652174,3534.471837,58m 54.47s,val,True
atwt-01-29-08,True,True,True,True,False,explicit,True,37,412,19,42.13513513513514,3533.984218,58m 53.98s,train,True
atwt-01-29-09,True,True,True,True,False,explicit,True,27,444,18,46.96296296296296,3534.309297,58m 54.31s,val,True
atwt-01-29-10,True,True,True,True,False,explicit,True,26,465,17,45.92307692307692,3533.937778,58m 53.94s,train,True
atwt-01-30-03,True,True,True,True,True,explicit,True,23,329,21,46.73913043478261,3342.744671,55m 42.74s,val,True
atwt-01-30-04,True,True,True,True,True,explicit,False,26,459,17,46.61538461538461,3338.704399,55m 38.70s,nelly-excluded,False
atwt-01-30-06,True,True,True,True,True,explicit,False,34,412,20,44.11764705882353,3534.495057,58m 54.50s,nelly-excluded,False
atwt-01-30-07,True,True,True,True,True,explicit,True,22,497,21,48.45454545454545,3534.959456,58m 54.96s,val,True
atwt-01-30-08,True,True,True,True,False,explicit,True,31,380,18,43.87096774193548,3534.936236,58m 54.94s,train,True
atwt-01-30-09,True,True,True,True,False,explicit,True,20,454,13,48.3,3532.916100,58m 52.92s,val,True
atwt-01-31-03,True,True,True,True,True,explicit,False,28,354,19,45.142857142857146,3379.710839,56m 19.71s,nelly-excluded,False
atwt-01-31-05,True,True,True,True,True,explicit,True,22,405,23,47.95454545454545,2322.808163,38m 42.81s,val,True
atwt-01-31-06,True,True,True,True,False,explicit,True,29,401,16,44.310344827586206,3534.959456,58m 54.96s,train,True
atwt-01-31-07,True,True,True,True,True,explicit,True,25,409,19,46.32,3535.447075,58m 55.45s,val,True
atwt-01-31-08,True,True,True,True,False,explicit,True,34,429,19,46.088235294117645,3534.959456,58m 54.96s,train,True
atwt-02-01-05,True,True,True,True,True,explicit,False,27,422,21,46.14814814814815,3312.953469,55m 12.95s,nelly-excluded,False
atwt-02-01-06,True,True,True,True,False,explicit,True,22,477,14,47.18181818181818,3534.959456,58m 54.96s,train,True
atwt-02-01-07,True,True,True,True,True,explicit,True,19,469,16,48.31578947368421,3534.471837,58m 54.47s,val,True
atwt-02-01-08,True,True,True,True,False,explicit,True,40,362,20,43.3,3535.423855,58m 55.42s,train,True
atwt-02-01-10,True,True,True,True,False,explicit,True,23,398,10,47.869565217391305,3533.914558,58m 53.91s,train,True
atwt-02-02-04,True,True,True,True,True,explicit,False,26,352,20,44.53846153846154,3298.696417,54m 58.70s,nelly-excluded,False
atwt-02-02-05,True,True,True,True,True,explicit,True,27,409,19,46.629629629629626,3287.248980,54m 47.25s,val,True
atwt-02-02-06,True,True,True,True,False,explicit,True,24,322,14,45.958333333333336,3534.425397,58m 54.43s,train,True
atwt-02-02-07,True,True,True,True,False,explicit,True,28,387,17,45.57142857142857,3534.982676,58m 54.98s,train,True
atwt-02-02-09,True,True,True,True,False,explicit,True,24,530,17,47.333333333333336,3534.425397,58m 54.43s,val,True
atwt-02-02-10,True,True,True,True,False,explicit,True,30,486,19,44.5,3533.984218,58m 53.98s,train,True
atwt-02-03-03,True,False,False,True,True,explicit,True,21,390,13,46.95238095238095,3423.317914,57m 3.32s,val,True
atwt-02-03-04,True,True,True,True,True,explicit,False,30,344,25,44.2,3333.897868,55m 33.90s,nelly-excluded,False
atwt-02-03-05,True,True,True,True,True,explicit,True,30,436,21,47.03333333333333,2332.514104,38m 52.51s,val,True
atwt-02-03-06,True,True,True,True,True,explicit,True,26,414,20,45.92307692307692,3535.516735,58m 55.52s,val,True
atwt-02-03-09,True,True,True,True,False,explicit,True,28,498,23,48.21428571428572,3534.866576,58m 54.87s,val,True
atwt-02-03-10,True,True,True,True,False,explicit,False,25,402,11,44.16,3533.937778,58m 53.94s,nelly-excluded,False
atwt-02-04-03,True,False,False,True,True,explicit,True,22,411,17,48.63636363636363,3380.732517,56m 20.73s,val,True
atwt-02-04-04,True,True,True,True,True,explicit,True,26,347,21,45.30769230769231,3333.897868,55m 33.90s,val,True
atwt-02-04-05,True,True,True,True,True,explicit,True,26,432,16,46.76923076923077,3327.256961,55m 27.26s,val,True
atwt-02-04-08,True,True,True,True,False,explicit,True,36,494,21,45.02777777777778,3534.936236,58m 54.94s,train,True
atwt-02-04-09,True,True,True,True,False,explicit,True,33,565,14,45.51515151515152,3535.330975,58m 55.33s,val,True
atwt-02-04-10,True,True,True,True,False,explicit,True,26,428,14,44.03846153846154,3534.471837,58m 54.47s,train,True
atwt-02-05-03,True,False,False,True,True,explicit,True,25,382,18,45.96,3341.212154,55m 41.21s,val,True
atwt-02-05-04,True,True,True,True,True,explicit,True,29,379,17,45.37931034482759,3338.402540,55m 38.40s,val,True
atwt-02-05-07,True,True,True,True,False,explicit,True,20,471,19,46.95,3534.448617,58m 54.45s,train,True
atwt-02-05-08,True,True,True,True,False,none,True,44,323,20,2.0681818181818183,3534.936236,58m 54.94s,train,True
atwt-02-05-09,True,True,True,True,False,explicit,True,23,454,17,49.65217391304348,3533.891338,58m 53.89s,val,True
atwt-02-06-03,True,False,False,True,True,explicit,True,10,155,15,47.5,3380.732517,56m 20.73s,val,True
atwt-02-06-04,True,True,True,True,True,explicit,True,28,298,22,44.07142857142857,3339.400998,55m 39.40s,val,True
atwt-02-06-06,True,True,True,True,True,explicit,False,23,464,20,47.30434782608695,3534.495057,58m 54.50s,nelly-excluded,False
atwt-02-06-07,True,True,True,True,False,explicit,True,27,442,16,44.74074074074074,3534.936236,58m 54.94s,train,True
atwt-02-06-08,True,True,True,True,False,explicit,True,47,349,22,42.14893617021277,3535.957914,58m 55.96s,train,True
atwt-02-06-09,True,True,True,True,False,explicit,True,33,662,18,45.87878787878788,3534.332517,58m 54.33s,val,True
atwt-02-07-03,True,False,False,True,True,explicit,True,25,350,17,46.8,3387.280544,56m 27.28s,val,True
atwt-02-07-05,True,True,True,True,True,explicit,True,33,478,23,44.90909090909091,3328.232200,55m 28.23s,val,True
atwt-02-07-06,True,True,True,True,True,explicit,True,26,460,22,46.73076923076923,3532.916100,58m 52.92s,val,True
atwt-02-07-07,True,True,True,True,False,explicit,True,29,575,25,46.13793103448276,3535.493515,58m 55.49s,train,True
atwt-02-07-08,True,True,True,True,False,explicit,True,31,404,21,44.54838709677419,3533.984218,58m 53.98s,train,True
atwt-02-08-05,True,True,True,True,True,explicit,True,30,403,24,45.4,3326.258503,55m 26.26s,val,True
atwt-02-08-06,True,True,True,True,True,explicit,True,26,380,17,45.80769230769231,3534.425397,58m 54.43s,val,True
atwt-02-08-08,True,True,True,True,False,explicit,True,50,378,23,41.82,3535.934694,58m 55.93s,train,True
atwt-02-08-10,True,True,True,True,False,explicit,True,22,428,15,46.18181818181818,3533.403719,58m 53.40s,train,True
atwt-02-09-04,True,True,True,True,False,explicit,True,27,353,17,45.5925925925926,3338.890159,55m 38.89s,train,True
atwt-02-09-05,True,True,True,True,True,explicit,True,26,405,21,46.53846153846154,3329.787937,55m 29.79s,val,True
atwt-02-09-06,True,True,True,True,True,explicit,True,22,427,18,46.90909090909091,3534.448617,58m 54.45s,val,True
atwt-02-09-07,True,True,True,True,True,explicit,True,38,521,30,44.55263157894737,3535.957914,58m 55.96s,val,True
atwt-02-09-09,True,True,True,True,False,explicit,True,30,432,11,44.833333333333336,3535.330975,58m 55.33s,val,True
atwt-02-09-10,True,True,True,True,False,explicit,True,25,381,14,47.56,3533.334059,58m 53.33s,train,True
atwt-02-10-03,True,True,True,True,True,explicit,True,25,404,18,47.4,3381.243356,56m 21.24s,val,True
atwt-02-10-04,True,True,True,True,False,explicit,True,24,349,19,46.25,3338.890159,55m 38.89s,train,True
atwt-02-10-05,True,True,True,True,True,explicit,True,26,419,21,46.80769230769231,3286.691701,54m 46.69s,val,True
atwt-02-10-06,True,True,True,True,True,explicit,False,32,403,21,44.625,3533.984218,58m 53.98s,nelly-excluded,False
atwt-02-10-09,True,True,True,True,False,explicit,True,22,488,21,46.81818181818182,3534.402177,58m 54.40s,val,True
atwt-02-11-03,True,True,True,True,True,explicit,True,19,340,14,46.94736842105263,3381.382676,56m 21.38s,val,True
atwt-02-11-04,True,True,True,True,False,explicit,True,23,368,20,47.26086956521739,3298.858957,54m 58.86s,train,True
atwt-02-11-05,True,True,True,True,True,explicit,True,27,500,23,47.2962962962963,3327.744580,55m 27.74s,val,True
atwt-02-11-08,True,True,True,True,False,explicit,True,28,424,24,47.32142857142857,3534.959456,58m 54.96s,train,True
atwt-02-11-10,True,True,True,True,False,explicit,True,26,409,15,45.92307692307692,3533.357279,58m 53.36s,train,True
atwt-02-12-03,True,True,True,True,True,explicit,False,23,362,17,46.78260869565217,3316.041723,55m 16.04s,nelly-excluded,False
atwt-02-12-04,True,True,True,True,False,explicit,False,26,289,24,46.57692307692308,3338.890159,55m 38.89s,nelly-excluded,False
atwt-02-12-07,True,True,True,True,True,explicit,True,29,490,22,45.0,3534.471837,58m 54.47s,val,True
atwt-02-12-08,True,True,True,True,False,explicit,True,36,455,25,44.22222222222222,3534.959456,58m 54.96s,train,True
atwt-02-12-09,True,True,True,True,False,explicit,False,24,518,16,47.375,3534.843356,58m 54.84s,nelly-excluded,False
atwt-02-12-10,True,True,True,True,False,explicit,True,25,464,12,46.88,3533.844898,58m 53.84s,train,True
atwt-02-13-03,True,True,True,True,False,explicit,False,9,119,10,46.0,3314.602086,55m 14.60s,nelly-excluded,False
atwt-02-13-04,True,True,True,True,False,explicit,False,36,333,27,43.97222222222222,3334.385488,55m 34.39s,nelly-excluded,False
atwt-02-13-06,True,True,True,True,False,explicit,True,27,378,18,47.22222222222222,3534.448617,58m 54.45s,train,True
atwt-02-13-07,True,True,True,True,True,explicit,True,23,402,17,46.47826086956522,3534.425397,58m 54.43s,val,True
atwt-02-13-08,True,True,True,True,False,explicit,True,37,413,20,43.7027027027027,3534.959456,58m 54.96s,train,True
atwt-02-13-09,True,True,True,True,False,explicit,False,23,511,13,47.0,3535.423855,58m 55.42s,nelly-excluded,False
atwt-02-14-03,True,True,True,True,True,explicit,True,24,334,15,45.333333333333336,3275.035283,54m 35.04s,val,True
atwt-02-14-05,True,True,True,True,True,explicit,True,30,434,27,47.1,3326.746122,55m 26.75s,val,True
atwt-02-14-06,True,True,True,True,True,explicit,False,29,357,21,45.48275862068966,3534.495057,58m 54.50s,nelly-excluded,False
atwt-02-14-07,True,True,True,True,True,explicit,True,30,368,18,43.16666666666666,3534.495057,58m 54.50s,train,True
atwt-02-14-08,True,True,True,True,False,explicit,True,15,287,30,50.66666666666666,3535.934694,58m 55.93s,train,True
atwt-02-15-05,True,True,True,True,True,explicit,False,22,440,28,49.04545454545455,3327.233741,55m 27.23s,nelly-excluded,False
atwt-02-15-06,True,True,True,True,True,explicit,True,24,431,13,48.125,3535.423855,58m 55.42s,train,True
atwt-02-15-07,True,True,True,True,True,explicit,True,22,410,16,46.72727272727273,3534.471837,58m 54.47s,train,True
